country,city,name,category,lat,lon,description,address,website,phone,photo_url,verified
argentina,buenos-aires,Parque Centenario Plaza de Perros,parks,-34.6067,-58.4362,"Popular dog park in Centenario with separate areas for large and small dogs","Av. Patricias Argentinas, Buenos Aires",https://www.buenosaires.gob.ar,,https://images.unsplash.com/photo-1568393691622-c7ba131d63b4?auto=format&fit=crop&w=800&q=80,true
argentina,buenos-aires,LAB Café Palermo,cafes_restaurants,-34.5864,-58.4267,"Dog-friendly café in Palermo Soho with specialty coffee and brunch","Thames 1885, Buenos Aires",https://www.labcafe.com.ar,+54-11-4831-5261,https://images.unsplash.com/photo-1554118811-1e0d58224f24?auto=format&fit=crop&w=800&q=80,true
argentina,buenos-aires,Parque 3 de Febrero (Bosques de Palermo),parks,-34.5775,-58.4156,"Massive park with multiple dog-friendly areas and lakes","Av. del Libertador, Palermo, Buenos Aires",https://www.buenosaires.gob.ar,,https://images.unsplash.com/photo-1548199973-03cce0bbc87b?auto=format&fit=crop&w=800&q=80,true
argentina,buenos-aires,Veterinaria Palermo,shops_services,-34.5841,-58.4232,"Full-service veterinary clinic and pet supplies in Palermo","Av. Santa Fe 3601, Buenos Aires",https://www.vetpalermo.com.ar,+54-11-4823-4567,,true
argentina,buenos-aires,Plaza Armenia Dog Area,parks,-34.5899,-58.4258,"Neighborhood dog park in Palermo with shade trees and benches","Plaza Armenia, Buenos Aires",https://www.buenosaires.gob.ar,,,true
argentina,buenos-aires,Parque Sarmiento Dog Zone,parks,-34.6406,-58.4794,"Western Buenos Aires park with designated off-leash areas","Av. Elcano, Buenos Aires",https://www.buenosaires.gob.ar,,,true
argentina,buenos-aires,Coffee Town,cafes_restaurants,-34.5919,-58.4018,"Dog-friendly specialty coffee shop in Recoleta","Av. Santa Fe 1560, Buenos Aires",https://www.coffeetownba.com.ar,+54-11-4816-7890,,true
argentina,buenos-aires,Pet Shop Mundo Animal,shops_services,-34.5759,-58.4351,"Premium pet store with grooming services in Palermo","Av. Córdoba 5695, Buenos Aires",https://www.mundoanimal.com.ar,+54-11-4774-3322,,true
argentina,buenos-aires,Parque Chacabuco Plaza Canina,parks,-34.6394,-58.4495,"Community dog park in Chacabuco neighborhood","Av. Asamblea, Buenos Aires",https://www.buenosaires.gob.ar,,https://images.unsplash.com/photo-1587300003388-59208cc962cb?auto=format&fit=crop&w=800&q=80,true
argentina,buenos-aires,Full City Coffee House,cafes_restaurants,-34.5977,-58.3778,"Dog-friendly artisan café in San Telmo with outdoor tables","Av. Defensa 1200, Buenos Aires",https://www.fullcitycoffee.com.ar,+54-11-4361-5544,,true
argentina,buenos-aires,Reserva Ecológica Dog Trail,parks,-34.6071,-58.3526,"Nature reserve with dog-friendly trails and wetlands","Av. Tristán Achával Rodríguez, Buenos Aires",https://www.buenosaires.gob.ar,,,true
argentina,buenos-aires,Barrancas de Belgrano,parks,-34.5631,-58.4572,"Historic park with off-leash areas and cultural events","Av. del Libertador, Belgrano, Buenos Aires",https://www.buenosaires.gob.ar,,,true
argentina,buenos-aires,Lattente,cafes_restaurants,-34.5862,-58.4249,"Italian-style dog-friendly café in Palermo Hollywood","Av. Dorrego 1680, Buenos Aires",https://www.lattente.com.ar,+54-11-4832-6677,,true
argentina,buenos-aires,Parque Rivadavia Dog Area,parks,-34.6367,-58.4389,"Neighborhood park with morning off-leash hours","Av. Rivadavia 4900, Buenos Aires",https://www.buenosaires.gob.ar,,,true
argentina,buenos-aires,Perruno Pet Shop,shops_services,-34.5876,-58.3952,"Pet supplies and veterinary services in Recoleta","Av. Las Heras 2156, Buenos Aires",https://www.perruno.com.ar,+54-11-4801-2233,,true
